z,x,y,h_min_m,h_max_m
1,0,0,-7120,4068
1,0,1,-7526,5127
1,1,0,-7571,5964
1,1,1,-6300,4084
2,0,0,-4072,2057
2,0,1,-6730,3854
2,0,2,-8874,558
2,0,3,-5040,3067
2,1,0,-4547,3230
2,1,1,-8342,4253
2,1,2,-7702,5510
2,1,3,-4969,3072
2,2,0,-4286,1513
2,2,1,-5343,6662
2,2,2,-5980,3046
2,2,3,-4662,4085
2,3,0,-4780,1967
2,3,1,-8804,5647
2,3,2,-7650,3745
2,3,3,-3843,4146
3,0,2,-7191,4672
3,0,3,-7258,3301
3,0,4,-9920,1053
3,0,5,-6245,246
3,1,2,-4058,3585
3,1,3,-5889,4375
3,1,4,-5979,1055
3,1,5,-6883,348
3,2,0,-2824,2327
3,2,1,-2357,7796
3,2,2,-5279,2844
3,2,3,-8448,4435
3,2,4,-7361,5966
3,2,5,-6497,2841
3,3,0,-4743,2326
3,3,1,-3865,3233
3,3,2,-5611,2871
3,3,3,-6252,3275
3,3,4,-6111,2108
3,3,5,-8094,1255
3,4,2,-3264,4227
3,4,3,-4924,4061
3,4,4,-6120,4714
3,4,5,-6369,753
3,5,2,-816,5753
3,5,3,-5539,6930
3,5,4,-6103,2454
3,5,5,-5651,1314
3,6,2,-3767,4150
3,6,3,-9024,6454
3,6,4,-7347,2282
3,6,5,-5553,1255
3,7,2,-8831,3019
3,7,3,-10020,2372
3,7,4,-8143,3988
3,7,5,-6145,2013
4,0,4,-3878,2369
4,0,5,-7653,1341
4,0,8,-9263,1545
4,0,9,-10467,1
4,1,4,-5413,5056
4,1,5,-5891,186
4,1,8,-6429,1116
4,1,9,-6941,295
4,2,6,-5485,3826
4,2,7,-5841,-423
4,3,6,-3919,3853
4,3,7,-6355,4317
4,4,8,-7437,5578
4,4,9,-7802,6034
4,5,8,-70,5206
4,5,9,-5678,5403
4,6,2,-178,3012
4,6,3,-2159,3310
4,6,6,-7118,900
4,6,7,-6654,2080
4,7,2,-3808,1584
4,7,3,-3828,1301
4,7,6,-5915,3337
4,7,7,-6138,1320
4,8,4,-3254,2068
4,8,5,-2992,3384
4,8,8,-6073,2275
4,8,9,-5983,2048
4,9,4,-240,383
4,9,5,-2514,4422
4,9,8,-4601,4685
4,9,9,-6062,3196
4,10,6,-4264,4118
4,10,7,-5705,2297
4,11,6,-1474,6727
4,11,7,-5293,2280
4,14,6,-9580,2466
4,14,7,-10264,556
4,14,10,-5719,1343
4,14,11,-6141,748
4,15,6,-6899,240
4,15,7,-6772,580
4,15,10,-6202,2279
4,15,11,-6262,529
5,2,8,-12,4990
5,2,9,-5419,3135
5,2,16,-6298,406
5,2,17,-5715,958
5,3,8,117,4093
5,3,9,-4929,5057
5,3,16,-5560,892
5,3,17,-5516,395
5,4,12,-5584,1237
5,4,13,-5468,79
5,5,12,-4752,3831
5,5,13,-4855,2533
5,6,12,242,3872
5,6,13,-3790,3016
5,7,12,14,1037
5,7,13,-3986,3021
5,8,18,-5145,337
5,8,19,-5622,526
5,9,18,-7982,6083
5,9,19,-6131,5333
5,12,6,-345,1279
5,12,7,-325,2693
5,13,6,-1380,2535
5,13,7,-1532,3106
5,14,12,-6246,1359
5,14,13,-5210,2608
5,15,12,-5220,3079
