Frame,Progress,VisibleTiles,DisplayedTiles,TextureChanges,FastFlickers
1,0.00890,180,0,0,0
2,0.01005,45,0,0,0
3,0.01022,45,0,0,0
4,0.01039,45,0,0,0
5,0.01056,45,0,0,0
6,0.01073,44,0,0,0
7,0.01090,43,0,0,0
8,0.01107,43,0,0,0
9,0.01124,43,0,0,0
10,0.01141,46,0,0,0
11,0.01158,46,0,0,0
12,0.01175,46,0,0,0
13,0.01192,46,1,0,0
14,0.01209,45,2,0,0
15,0.01226,44,3,0,0
16,0.01243,44,3,0,0
17,0.01260,44,4,0,0
18,0.01277,44,4,0,0
19,0.01293,43,4,0,0
20,0.01310,43,8,0,0
21,0.01327,43,8,0,0
22,0.01344,43,8,0,0
23,0.01361,41,8,0,0
24,0.01378,41,8,0,0
25,0.01395,41,9,0,0
26,0.01412,41,11,0,0
27,0.01429,41,12,0,0
28,0.01446,41,12,0,0
29,0.01463,41,12,0,0
30,0.01480,40,13,0,0
31,0.01497,39,12,0,0
32,0.01514,39,15,0,0
33,0.01531,41,17,0,0
34,0.01548,41,17,0,0
35,0.01565,41,17,0,0
36,0.01582,41,17,0,0
37,0.01599,41,18,0,0
38,0.01616,40,17,0,0
39,0.01633,39,16,0,0
40,0.01650,39,16,0,0
41,0.01667,39,18,0,0
42,0.01684,39,18,0,0
43,0.01701,38,18,0,0
44,0.01718,38,18,0,0
45,0.01735,38,18,0,0
46,0.01752,38,18,0,0
47,0.01769,37,17,0,0
48,0.01786,37,17,0,0
49,0.01803,37,17,0,0
50,0.01820,37,17,0,0
51,0.01837,37,17,0,0
52,0.01854,37,18,0,0
53,0.01871,37,18,0,0
54,0.01888,35,17,0,0
55,0.01905,35,17,0,0
56,0.01922,35,17,0,0
57,0.01939,38,17,0,0
58,0.01956,42,20,0,0
59,0.01973,43,20,0,0
60,0.01990,43,20,0,0
61,0.02007,43,19,0,0
62,0.02024,43,20,0,0
63,0.02041,43,20,0,0
64,0.02058,43,22,0,0
