Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
1,0.00907,180,0,180
2,0.01009,45,0,4
3,0.01026,45,0,0
4,0.01043,45,0,0
5,0.01060,45,0,0
6,0.01077,43,0,0
7,0.01094,43,0,1
8,0.01111,43,0,0
9,0.01128,43,0,0
10,0.01145,46,0,4
11,0.01162,46,1,0
12,0.01179,46,1,0
13,0.01196,46,1,0
14,0.01213,44,1,0
15,0.01230,44,1,0
16,0.01247,44,1,0
17,0.01264,44,1,0
18,0.01281,44,1,0
19,0.01298,43,1,0
20,0.01315,43,1,0
21,0.01332,43,1,0
22,0.01349,43,1,0
23,0.01366,41,1,0
24,0.01383,41,1,0
25,0.01400,41,1,0
26,0.01417,41,1,0
27,0.01434,41,1,0
28,0.01451,41,1,0
29,0.01468,41,1,0
30,0.01485,40,1,0
31,0.01502,39,1,0
32,0.01519,41,1,3
33,0.01536,41,1,0
34,0.01553,41,1,0
35,0.01570,41,1,0
36,0.01587,41,1,0
37,0.01604,40,1,0
38,0.01621,40,1,0
39,0.01638,39,1,0
40,0.01655,39,1,0
41,0.01672,39,1,0
42,0.01689,38,1,0
43,0.01706,38,1,0
44,0.01723,38,1,0
45,0.01740,38,1,0
46,0.01757,37,1,0
47,0.01774,37,1,0
48,0.01791,37,1,0
49,0.01808,37,1,0
50,0.01825,37,1,0
51,0.01842,37,1,0
52,0.01859,37,1,0
53,0.01876,37,1,0
54,0.01893,35,1,0
55,0.01910,35,1,0
56,0.01926,35,1,0
57,0.01943,38,1,4
58,0.01960,43,1,7
59,0.01977,43,1,0
60,0.01994,43,1,0
61,0.02011,43,1,1
62,0.02028,43,1,0
63,0.02045,43,1,0
64,0.02062,43,1,1
65,0.02079,43,1,0
66,0.02096,44,1,1
67,0.02113,44,1,1
68,0.02130,45,1,4
69,0.02147,45,1,0
70,0.02164,44,1,0
71,0.02182,44,1,0
72,0.02199,44,1,0
73,0.02216,44,1,0
74,0.02233,44,1,0
75,0.02250,43,1,0
76,0.02267,42,1,0
77,0.02284,42,1,0
78,0.02301,42,1,0
79,0.02317,42,1,0
80,0.02334,42,1,0
81,0.02351,42,1,2
82,0.02368,41,1,0
83,0.02385,40,1,1
84,0.02402,43,1,4
85,0.02419,43,1,0
86,0.02437,43,1,0
87,0.02454,43,1,0
88,0.02471,42,1,0
89,0.02488,42,1,0
90,0.02505,42,1,0
91,0.02522,42,1,0
92,0.02539,42,1,0
93,0.02555,42,1,0
94,0.02572,40,1,0
95,0.02589,40,1,0
96,0.02607,40,1,0
97,0.02623,40,1,0
98,0.02640,40,1,0
99,0.02657,39,1,0
100,0.02674,38,1,0
101,0.02691,41,1,5
102,0.02708,41,1,0
103,0.02725,44,1,4
104,0.02742,43,1,0
105,0.02759,42,1,0
106,0.02776,41,1,0
107,0.02793,44,1,4
108,0.02810,44,1,0
109,0.02827,44,1,0
110,0.02844,44,1,0
111,0.02861,44,1,0
112,0.02878,43,1,0
113,0.02895,42,1,0
114,0.02912,42,1,0
115,0.02929,41,1,0
116,0.02945,41,1,0
117,0.02963,40,1,0
118,0.02980,40,1,0
119,0.02997,40,1,0
120,0.03014,40,1,0
121,0.03031,43,1,4
122,0.03048,42,1,0
123,0.03065,40,1,0
124,0.03082,40,1,0
125,0.03099,41,1,2
126,0.03116,41,1,0
127,0.03133,42,1,1
128,0.03150,41,1,0
129,0.03167,41,1,0
130,0.03184,40,1,0
131,0.03201,40,1,0
132,0.03218,40,1,0
133,0.03235,39,1,0
134,0.03252,38,1,0
135,0.03269,38,1,0
136,0.03286,41,1,4
137,0.03303,41,1,0
138,0.03320,40,1,0
139,0.03337,43,1,5
140,0.03354,45,1,4
141,0.03371,44,1,0
142,0.03388,43,1,0
143,0.03405,41,1,0
144,0.03422,41,1,0
145,0.03439,41,1,0
146,0.03456,41,1,0
147,0.03473,41,1,0
148,0.03490,39,1,0
149,0.03507,39,1,0
150,0.03524,39,1,0
151,0.03541,39,1,0
152,0.03558,39,1,0
153,0.03575,38,33,1
154,0.03592,39,35,3
155,0.03609,39,35,0
156,0.03626,39,35,0
157,0.03642,38,34,0
158,0.03659,37,34,0
159,0.03676,37,34,0
160,0.03693,36,33,0
161,0.03710,37,33,1
162,0.03727,36,33,0
163,0.03744,36,33,0
164,0.03761,36,33,0
165,0.03778,36,33,0
166,0.03795,36,33,0
167,0.03812,35,35,0
168,0.03829,35,35,0
169,0.03846,42,36,9
170,0.03863,42,36,0
171,0.03880,41,36,0
172,0.03897,42,36,1
173,0.03914,42,36,0
174,0.03931,42,35,1
175,0.03948,43,35,1
176,0.03965,42,35,0
177,0.03982,41,35,0
178,0.03999,41,38,0
179,0.04016,41,38,0
180,0.04033,40,40,0
181,0.04050,40,40,0
182,0.04067,40,40,0
183,0.04084,40,40,0
184,0.04101,39,39,0
185,0.04118,41,38,5
186,0.04135,41,38,0
187,0.04152,41,38,0
188,0.04169,40,38,0
189,0.04186,40,38,0
190,0.04203,40,38,0
191,0.04220,40,38,0
192,0.04237,38,37,0
193,0.04254,38,38,0
194,0.04271,38,38,0
195,0.04288,41,38,4
196,0.04305,40,36,2
197,0.04322,42,36,3
198,0.04339,42,36,0
199,0.04356,42,35,2
200,0.04372,43,34,4
201,0.04389,43,34,0
202,0.04406,43,34,0
