TileZ,TileX,TileY,FlipCount
14,8574,5554,1
18,137294,88872,1
16,34313,22221,1
18,137296,88873,1
11,1071,697,1
17,68633,44441,1
18,137286,88874,1
12,2146,1396,1
12,2145,1397,1
15,17157,11109,1
18,137283,88876,1
16,34314,22220,1
18,137278,88878,1
16,34315,22219,1
11,1073,701,1
19,274590,177748,1
13,4286,2776,1
15,17155,11111,1
15,17161,11106,1
17,68634,44441,1
17,68641,44437,1
18,137276,88879,1
12,2142,1392,1
12,2146,1398,1
12,2146,1397,1
19,274570,177754,1
15,17156,11109,1
17,68634,44440,1
12,2145,1394,1
17,68635,44439,1
17,68644,44436,1
17,68641,44439,1
17,68635,44441,1
17,68632,44440,1
12,2149,1402,1
12,2147,1396,1
10,537,353,1
16,34321,22217,1
13,4286,2783,1
13,4287,2782,1
18,137295,88872,1
16,34314,22218,1
12,2144,1396,1
18,137277,88879,1
19,274577,177752,1
17,68640,44437,1
19,274570,177755,1
16,34312,22221,1
12,2147,1399,1
12,2142,1393,1
11,1074,703,1
16,34317,22218,1
18,137282,88876,1
10,537,352,1
17,68631,44441,1
18,137275,88881,1
17,68639,44439,1
12,2146,1399,1
17,68638,44438,1
15,17156,11108,1
18,137278,88879,1
15,17152,11110,1
19,274576,177752,1
18,137293,88874,1
18,137280,88879,1
11,1072,699,1
14,8576,5554,1
19,274566,177757,1
15,17155,11110,1
10,535,350,1
16,34315,22221,1
18,137281,88878,1
15,17154,11111,1
18,137297,88873,1
18,137274,88881,1
18,137272,88881,1
18,137283,88877,1
17,68634,44438,1
11,1073,698,1
12,2144,1397,1
16,34314,22221,1
19,274588,177749,1
11,1072,701,1
19,274619,177738,1
15,17153,11110,1
13,4287,2783,1
18,137292,88874,1
15,17160,11106,1
18,137271,88880,1
17,68632,44441,1
15,17153,11111,1
16,34314,22219,1
12,2147,1397,1
11,1073,699,1
10,536,352,1
18,137294,88873,1
11,1072,700,1
17,68644,44437,1
17,68641,44436,1
18,137275,88880,1
18,137296,88872,1
18,137277,88878,1
17,68635,44440,1
19,274576,177753,1
14,8575,5554,1
14,8577,5554,1
17,68631,44440,1
18,137281,88879,1
16,34311,22220,1
19,274618,177739,1
12,2143,1392,1
13,4287,2777,1
18,137279,88878,1
18,137298,88873,1
16,34315,22218,1
14,8574,5555,1
17,68647,44434,1
12,2147,1398,1
18,137295,88873,1
17,68645,44437,1
18,137280,88876,1
17,68630,44441,1
12,2145,1392,1
18,137287,88876,1
18,137298,88872,1
19,274588,177748,1
17,68647,44435,1
18,137282,88877,1
13,4286,2777,1
16,34317,22219,1
10,534,350,1
11,1075,702,1
18,137273,88881,1
16,34320,22216,1
18,137279,88879,1
18,137286,88875,1
10,536,353,1
18,137280,88878,1
18,137274,88880,1
14,8577,5555,1
19,274618,177738,1
12,2148,1402,1
10,535,351,1
18,137272,88880,1
17,68630,44440,1
13,4286,2782,1
17,68646,44435,1
15,17160,11107,1
15,17154,11110,1
15,17157,11108,1
18,137286,88877,1
8,132,87,1
18,137280,88877,1
12,2144,1394,1
13,4287,2776,1
17,68633,44440,1
19,274591,177748,1
16,34321,22216,1
15,17152,11111,1
8,132,89,1
18,137292,88875,1
9,266,172,1
18,137270,88880,1
18,137276,88878,1
19,274566,177756,1
10,535,349,1
16,34315,22220,1
17,68646,44434,1
17,68638,44439,1
15,17161,11107,1
16,34313,22220,1
12,2145,1396,1
18,137286,88876,1
12,2145,1395,1
16,34312,22220,1
14,8575,5555,1
11,1072,698,1
10,534,351,1
19,274590,177749,1
12,2149,1403,1
18,137273,88880,1
11,1075,703,1
18,137293,88875,1
18,137270,88881,1
16,34310,22220,1
7,66,45,1
16,34320,22217,1
17,68645,44436,1
11,1074,702,1
12,2143,1393,1
12,2144,1395,1
12,2148,1403,1
17,68640,44436,1
16,34310,22221,1
9,269,176,1
18,137299,88872,1
16,34311,22221,1
18,137287,88877,1
17,68639,44438,1
16,34316,22219,1
17,68634,44439,1
9,267,175,1
18,137299,88873,1
17,68647,44437,1
12,2143,1391,1
18,137297,88872,1
16,34316,22218,1
11,1073,700,1
14,8576,5555,1
