case_id,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
0,-42.101322,-148.27498,5.772822,-49.94023,135.23767,-170.76099,0,0,0,0
1,-8.962181,-137.3544,8.738147,89.034164,307.15298,-0.116378784,0,0,0,0
2,24.140167,130.12424,5.964708,-73.66497,50.475525,162.03177,0,0,0,0
3,72.17442,140.20883,5.505094,-57.50702,198.03078,-86.77195,12,12,0,0
4,75.33069,115.74036,1.5529492,59.291046,168.09203,-158.14624,0,0,0,0
5,-81.18261,13.423965,8.299612,62.15979,245.1305,-42.927094,4,4,0,0
6,14.561661,70.70299,7.113664,39.351257,356.50348,-18.088974,0,0,0,0
7,-68.35251,-111.026115,4.473796,-67.1398,276.75534,33.73938,0,0,0,0
8,51.78949,-39.811905,2.1577008,-41.029297,6.87051,-79.93013,14,14,0,0
9,-28.225384,137.83182,9.55879,-55.31425,313.66837,29.636261,0,0,0,0
10,-27.764217,-66.84212,1.2936027,86.39462,37.070183,151.74493,12,10,2,0
11,51.974976,-24.135757,7.100613,-34.800373,42.693535,3.324051,13,13,0,0
12,-65.04631,-92.32929,6.0409617,35.608406,176.64478,-104.51728,0,0,0,0
13,-46.358906,69.941925,8.818228,57.052704,250.98093,122.21167,0,0,0,0
14,-16.721092,-124.86343,1.2629126,7.166359,234.602,175.61545,7,4,3,0
15,-12.5863495,88.93341,4.302654,-81.80287,27.810873,117.260956,0,0,0,0
16,81.38431,107.89273,1.6865221,-20.412895,101.942,-3.639923,7,7,0,0
17,57.96347,148.95654,1.9758115,-33.114876,190.81229,-84.9257,13,13,0,0
18,-16.343315,-175.52533,6.4798117,-23.99736,170.7856,-88.262184,0,0,0,0
19,15.892845,72.26274,5.5279136,18.640396,83.4699,-43.260406,0,0,0,0
20,-13.885338,156.95752,2.354175,75.74898,341.97934,25.688889,5,4,1,0
21,72.224594,-170.87091,2.5521033,7.3897552,180.79573,162.80844,0,0,0,0
22,81.58632,74.74263,8.160938,-34.41438,203.05219,66.75751,2,2,0,0
