sweep_type,param_value,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
Altitude,0.00001,0,0,0.00001,-90,0,0,36,22,14,0
Altitude,0.000011481537,0,0,0.000011481537,-90,0,0,36,24,12,0
Altitude,0.000013182567,0,0,0.000013182567,-90,0,0,38,24,14,0
Altitude,0.000015135613,0,0,0.000015135613,-90,0,0,38,24,14,0
Altitude,0.000017378008,0,0,0.000017378008,-90,0,0,36,24,12,0
Altitude,0.000019952624,0,0,0.000019952624,-90,0,0,36,24,12,0
Altitude,0.000022908675,0,0,0.000022908675,-90,0,0,36,26,10,0
Altitude,0.00002630268,0,0,0.00002630268,-90,0,0,38,26,12,0
Altitude,0.000030199515,0,0,0.000030199515,-90,0,0,38,26,12,0
Altitude,0.000034673685,0,0,0.000034673685,-90,0,0,34,24,10,0
Altitude,0.000039810715,0,0,0.000039810715,-90,0,0,34,24,10,0
Altitude,0.000045708817,0,0,0.000045708817,-90,0,0,34,24,10,0
Altitude,0.000052480744,0,0,0.000052480744,-90,0,0,34,28,6,0
Altitude,0.000060255956,0,0,0.000060255956,-90,0,0,34,30,4,0
Altitude,0.000069183094,0,0,0.000069183094,-90,0,0,32,24,8,0
Altitude,0.00007943283,0,0,0.00007943283,-90,0,0,32,22,10,0
Altitude,0.00009120107,0,0,0.00009120107,-90,0,0,32,24,8,0
Altitude,0.00010471285,0,0,0.00010471285,-90,0,0,34,24,10,0
Altitude,0.000120226454,0,0,0.000120226454,-90,0,0,34,24,10,0
Altitude,0.00013803842,0,0,0.00013803842,-90,0,0,30,20,10,0
Altitude,0.00015848932,0,0,0.00015848932,-90,0,0,30,20,10,0
Altitude,0.00018197006,0,0,0.00018197006,-90,0,0,30,22,8,0
Altitude,0.0002089296,0,0,0.0002089296,-90,0,0,30,24,6,0
Altitude,0.0002398833,0,0,0.0002398833,-90,0,0,32,24,8,0
Altitude,0.00027542285,0,0,0.00027542285,-90,0,0,28,20,8,0
Altitude,0.00031622776,0,0,0.00031622776,-90,0,0,28,22,6,0
Altitude,0.000363078,0,0,0.000363078,-90,0,0,28,24,4,0
Altitude,0.0004168694,0,0,0.0004168694,-90,0,0,30,26,4,0
Altitude,0.0004786301,0,0,0.0004786301,-90,0,0,30,26,4,0
Altitude,0.0005495408,0,0,0.0005495408,-90,0,0,26,20,6,0
Altitude,0.0006309574,0,0,0.0006309574,-90,0,0,26,22,4,0
Altitude,0.00072443596,0,0,0.00072443596,-90,0,0,26,22,4,0
Altitude,0.00083176367,0,0,0.00083176367,-90,0,0,26,22,4,0
Altitude,0.0009549927,0,0,0.0009549927,-90,0,0,26,22,4,0
Altitude,0.0010964782,0,0,0.0010964782,-90,0,0,24,20,4,0
Altitude,0.0012589253,0,0,0.0012589253,-90,0,0,24,22,2,0
Altitude,0.00144544,0,0,0.00144544,-90,0,0,24,20,4,0
Altitude,0.0016595869,0,0,0.0016595869,-90,0,0,26,22,4,0
Altitude,0.0019054606,0,0,0.0019054606,-90,0,0,26,22,4,0
Altitude,0.0021877612,0,0,0.0021877612,-90,0,0,22,18,4,0
Altitude,0.0025118866,0,0,0.0025118866,-90,0,0,22,20,2,0
Altitude,0.0028840313,0,0,0.0028840313,-90,0,0,22,20,2,0
Altitude,0.0033113107,0,0,0.0033113107,-90,0,0,22,20,2,0
Altitude,0.0038018941,0,0,0.0038018941,-90,0,0,22,22,0,0
