frame,speed_multiplier,requested_tiles,missing_tiles
1,0.010333333,8,8
2,0.010666667,8,7
3,0.011,9,1
4,0.011333333,9,1
5,0.011666667,9,0
6,0.012,9,0
7,0.0123333335,9,0
8,0.012666667,9,0
9,0.013,9,0
10,0.013333334,9,0
11,0.013666666,9,0
12,0.014,9,0
13,0.014333333,9,0
14,0.014666666,9,0
15,0.015,9,0
16,0.015333333,9,0
17,0.015666667,9,0
18,0.015999999,9,0
19,0.016333332,9,0
20,0.016666666,9,0
21,0.016999999,9,0
22,0.017333332,9,0
23,0.017666666,9,0
24,0.018,9,0
25,0.018333333,9,0
26,0.018666666,9,0
27,0.019,9,0
28,0.019333333,9,0
29,0.019666666,9,0
30,0.02,9,0
31,0.020333333,9,0
32,0.020666666,9,0
33,0.021,9,0
34,0.021333333,9,0
35,0.021666665,9,0
36,0.022,9,0
37,0.022333333,9,0
38,0.022666667,9,0
39,0.022999998,9,0
40,0.023333333,9,0
41,0.023666665,9,0
42,0.024,9,0
43,0.024333332,9,0
44,0.024666667,9,0
45,0.024999999,9,0
46,0.025333334,9,0
47,0.025666667,9,0
48,0.026,10,1
49,0.026333332,10,1
50,0.026666665,10,0
51,0.027,10,0
52,0.027333332,10,0
53,0.027666666,10,0
54,0.027999999,10,0
55,0.028333332,10,0
56,0.028666666,10,0
57,0.029,10,0
58,0.029333333,10,0
59,0.029666666,10,0
60,0.03,10,0
61,0.030333333,10,0
62,0.030666666,10,0
63,0.030999998,10,0
64,0.031333335,10,0
65,0.031666666,10,0
66,0.031999998,10,0
67,0.032333333,10,0
68,0.03266667,10,0
69,0.033,10,0
70,0.03333333,10,0
71,0.033666663,10,0
72,0.034,10,0
73,0.034333333,10,0
74,0.034666665,10,0
75,0.034999996,10,0
76,0.03533333,10,0
77,0.035666667,10,0
78,0.036,10,0
79,0.036333334,10,0
80,0.03666667,10,0
81,0.037,10,0
82,0.037333332,10,0
83,0.037666664,10,0
84,0.038,10,0
85,0.038333334,10,0
86,0.038666666,10,0
87,0.039,10,0
88,0.039333332,10,0
89,0.039666668,10,0
90,0.04,10,0
91,0.04033333,10,0
92,0.040666666,10,0
93,0.040999997,10,0
94,0.041333333,10,0
95,0.041666664,10,0
96,0.042000003,10,0
97,0.042333335,10,0
98,0.042666666,10,0
99,0.042999998,10,0
100,0.04333333,10,0
101,0.04366667,10,0
102,0.044,10,0
103,0.04433333,10,0
104,0.044666663,10,0
105,0.045,10,0
106,0.045333333,10,0
107,0.045666665,10,0
108,0.045999996,10,0
109,0.046333335,10,0
110,0.046666667,10,0
111,0.047,10,0
112,0.04733333,10,0
113,0.04766667,10,0
114,0.048,10,0
115,0.048333332,10,0
116,0.048666663,10,0
117,0.049000002,10,0
118,0.049333334,10,0
119,0.049666665,10,0
120,0.049999997,10,0
121,0.05033333,10,0
122,0.050666668,10,0
123,0.051,10,0
124,0.05133333,10,0
125,0.051666662,10,0
126,0.051999994,10,0
127,0.052333333,10,0
128,0.052666664,10,0
129,0.053000003,10,0
130,0.053333335,10,0
131,0.053666666,10,0
132,0.053999998,10,0
133,0.05433333,10,0
134,0.05466667,10,0
135,0.055,10,0
136,0.05533333,10,0
137,0.055666663,10,0
138,0.055999994,10,0
139,0.056333333,10,0
140,0.056666665,10,0
141,0.056999996,10,0
142,0.057333328,10,0
143,0.057666667,10,0
144,0.058,10,0
145,0.058333337,9,0
146,0.05866667,9,0
147,0.059,9,0
148,0.059333332,9,0
149,0.059666663,9,0
150,0.059999995,9,0
151,0.060333334,9,0
152,0.060666665,9,0
153,0.060999997,9,0
154,0.06133333,9,0
155,0.06166666,9,0
156,0.062,9,0
157,0.06233333,9,0
158,0.06266667,9,0
159,0.063,9,0
160,0.06333333,9,0
161,0.063666664,9,0
162,0.064,9,0
163,0.064333335,9,0
164,0.064666666,9,0
165,0.065,9,0
166,0.06533333,9,0
167,0.06566667,9,0
168,0.066,9,0
169,0.06633333,9,0
170,0.06666666,9,0
171,0.066999994,9,0
172,0.06733333,9,0
173,0.067666665,9,0
174,0.068,9,0
175,0.068333335,9,0
176,0.06866667,9,0
177,0.069,9,0
178,0.06933333,9,0
179,0.06966667,9,0
180,0.07,9,0
181,0.07033333,9,0
182,0.07066666,10,1
183,0.070999995,10,1
184,0.071333334,10,0
185,0.071666665,10,0
186,0.072,10,0
187,0.07233333,10,0
188,0.07266667,10,0
189,0.073,10,0
190,0.07333333,10,0
191,0.07366666,10,0
192,0.074,10,0
193,0.07433333,10,0
194,0.074666664,10,0
195,0.074999996,10,0
196,0.07533333,10,0
197,0.075666666,10,0
198,0.076,10,0
199,0.07633333,10,0
200,0.07666666,10,0
201,0.07699999,10,0
202,0.07733333,10,0
203,0.07766666,10,0
204,0.078,10,0
205,0.07833333,10,0
206,0.078666665,10,0
207,0.078999996,10,0
208,0.07933333,10,0
209,0.07966667,10,0
210,0.08,10,0
211,0.08033333,10,0
212,0.08066666,10,0
213,0.08099999,10,0
214,0.08133333,10,0
215,0.08166666,10,0
216,0.081999995,10,0
217,0.08233333,10,0
218,0.082666665,10,0
219,0.083,10,0
220,0.08333333,10,0
221,0.08366667,10,0
222,0.084,10,0
223,0.08433333,10,0
224,0.08466666,10,0
225,0.08499999,10,0
226,0.08533333,10,0
227,0.085666664,10,0
228,0.085999995,10,0
229,0.08633333,11,1
230,0.08666666,11,1
231,0.087,11,0
232,0.08733333,11,0
233,0.08766667,11,0
234,0.088,11,0
235,0.08833333,11,0
236,0.08866666,11,0
237,0.088999994,11,0
238,0.08933333,11,0
239,0.089666665,11,0
240,0.089999996,11,0
241,0.090333335,11,0
242,0.09066666,11,0
243,0.091,11,0
