z,rendered,hit,false_positives,false_negatives
6.378137,20,0,20,8568
6.378278,8,8,0,0
6.3786993,8,8,0,0
6.379402,8,8,0,0
6.380386,8,8,0,0
6.381651,8,8,0,0
6.383197,8,8,0,0
6.385024,8,8,0,0
6.387132,8,8,0,0
6.3895216,16,8,8,0
6.392192,8,8,0,0
6.395143,8,8,0,0
6.398376,8,8,0,0
6.4018893,16,16,0,0
6.4056845,8,8,0,0
6.40976,8,8,0,0
6.414117,8,8,0,0
6.418755,8,8,0,0
6.423674,16,8,8,0
6.4288745,4,4,0,0
6.4343557,8,8,0,0
6.4401183,8,8,0,0
6.4461617,8,8,0,0
6.452486,8,8,0,0
6.459092,8,8,0,0
6.4659786,8,8,0,0
6.4731464,16,16,0,0
6.4805956,8,4,4,0
6.4883256,8,8,0,0
6.496337,8,8,0,0
6.504629,8,8,0,0
6.513202,8,8,0,0
6.5220566,8,8,0,0
6.5311923,8,8,0,0
6.540609,8,8,0,0
6.550307,8,8,0,0
6.5602856,16,8,8,0
6.570545,4,4,0,0
6.581086,8,4,4,0
6.5919085,8,8,0,0
6.6030116,8,8,0,0
6.614396,8,8,0,0
6.6260614,8,8,0,0
6.6380076,8,8,0,0
6.650235,8,8,0,0
6.662744,8,8,0,0
6.675534,8,8,0,0
6.6886044,8,8,0,0
6.7019563,8,8,0,0
6.7155895,8,8,0,0
6.7295036,8,8,0,0
6.7436986,16,8,8,0
6.758175,4,4,0,0
6.7729325,8,4,4,0
6.787971,8,4,4,0
6.8032904,8,8,0,0
6.818891,8,8,0,0
6.834773,8,8,0,0
6.850936,8,8,0,0
6.8673797,8,8,0,0
6.8841047,8,8,0,0
6.901111,8,8,0,0
6.918398,8,8,0,0
6.9359665,8,8,0,0
6.953816,8,8,0,0
6.9719462,8,8,0,0
6.990358,8,8,0,0
7.009051,8,8,0,0
7.0280247,8,8,0,0
7.0472794,8,8,0,0
7.0668154,8,8,0,0
7.0866323,12,8,4,0
7.1067305,16,12,4,0
7.12711,16,16,0,0
7.14777,8,4,4,0
7.1687117,8,4,4,0
7.1899343,8,8,0,0
7.2114377,8,8,0,0
7.2332225,8,8,0,0
7.255288,8,8,0,0
7.277635,8,8,0,0
7.3002634,8,8,0,0
7.323172,8,8,0,0
7.3463626,8,8,0,0
7.3698335,8,8,0,0
7.393586,8,8,0,0
7.4176197,8,8,0,0
7.441934,8,8,0,0
7.46653,8,8,0,0
7.4914064,8,8,0,0
7.5165644,8,8,0,0
7.542003,8,8,0,0
7.5677233,8,8,0,0
7.5937243,8,8,0,0
7.6200066,8,8,0,0
7.6465697,8,8,0,0
7.673414,8,8,0,0
7.7005396,12,8,4,0
7.7279463,16,8,8,0
7.7556343,16,12,4,0
7.7836027,20,12,8,0
7.8118525,20,12,8,0
7.8403835,20,16,4,0
7.869196,8,4,4,0
7.8982887,8,6,2,0
7.927663,8,8,0,0
7.9573183,8,8,0,0
7.987255,8,8,0,0
8.017472,8,8,0,0
8.047971,8,8,0,0
8.078751,8,8,0,0
8.109812,8,8,0,0
8.141153,8,8,0,0
8.172776,8,8,0,0
8.20468,12,8,4,0
8.236866,12,8,4,0
8.269332,12,8,4,0
8.302079,12,8,4,0
8.335108,12,8,4,0
8.368418,12,8,4,0
8.402008,16,8,8,0
8.43588,16,8,8,0
8.470033,16,8,8,0
8.504466,16,8,8,0
8.539181,16,8,8,0
8.574177,16,8,8,0
8.609454,16,8,8,0
8.645013,20,8,12,0
8.680852,20,8,12,0
8.716972,20,8,12,0
8.753374,20,8,12,0
8.790056,20,8,12,0
8.827021,20,8,12,0
8.864265,20,12,8,0
8.901792,20,12,8,0
8.939598,20,12,8,0
8.977687,20,12,8,0
9.016056,24,16,8,0
9.054707,24,16,8,0
9.093637,24,16,8,0
9.13285,24,20,4,0
9.172343,12,8,4,0
9.212118,12,8,4,0
9.252174,12,8,4,0
9.292511,12,8,4,0
9.333129,12,8,4,0
9.374028,12,8,4,0
9.415208,12,8,4,0
9.456669,12,8,4,0
9.498411,12,8,4,0
9.540435,12,8,4,0
9.582739,12,8,4,0
9.625325,12,8,4,0
9.668192,16,8,8,0
9.71134,16,8,8,0
9.754768,16,8,8,0
9.798478,16,8,8,0
9.84247,16,8,8,0
9.886742,16,8,8,0
9.931295,16,8,8,0
9.97613,16,10,6,0
10.021245,16,8,8,0
10.066641,16,10,6,0
10.112319,16,10,6,0
10.1582775,16,12,4,0
10.204517,16,16,0,0
10.251039,16,13,3,0
10.29784,16,16,0,0
10.344923,16,16,0,0
10.392288,16,16,0,0
10.439934,16,16,0,0
10.48786,16,16,0,0
10.536067,16,16,0,0
10.584556,16,16,0,0
10.633326,16,16,0,0
10.682376,16,16,0,0
10.731708,16,16,0,0
10.781321,16,16,0,0
10.831215,16,16,0,0
10.88139,16,16,0,0
10.931846,20,16,4,0
10.982583,20,16,4,0
11.033602,20,16,4,0
11.084902,20,16,4,0
11.136482,20,16,4,0
11.188343,20,16,4,0
11.240486,20,20,0,0
11.29291,20,20,0,0
11.345615,8,8,0,0
11.398602,8,8,0,0
11.451868,8,8,0,0
11.505417,8,8,0,0
11.559246,8,8,0,0
11.613356,8,8,0,0
11.6677475,8,8,0,0
11.722421,8,8,0,0
11.777374,12,8,4,0
11.832609,12,8,4,0
11.888124,12,8,4,0
11.943922,12,8,4,0
12,12,8,4,0
