z,rendered,hit,false_positives,false_negatives
8,8,8,0,0
8.005,8,8,0,0
8.01,8,8,0,0
8.015,8,8,0,0
8.02,8,8,0,0
8.025,8,8,0,0
8.03,8,8,0,0
8.035,8,8,0,0
8.04,8,8,0,0
8.045,8,8,0,0
8.05,8,8,0,0
8.055,8,8,0,0
8.06,8,8,0,0
8.065,8,8,0,0
8.07,8,8,0,0
8.075,8,8,0,0
8.08,8,8,0,0
8.085,8,8,0,0
8.09,8,8,0,0
8.095,8,8,0,0
8.1,8,8,0,0
8.105,8,8,0,0
8.11,8,8,0,0
8.115,8,8,0,0
8.12,8,8,0,0
8.125,8,8,0,0
8.13,8,8,0,0
8.135,8,8,0,0
8.14,8,8,0,0
8.145,8,8,0,0
8.15,8,8,0,0
8.155,8,8,0,0
8.16,8,8,0,0
8.165,8,8,0,0
8.17,8,8,0,0
8.175,8,8,0,0
8.18,8,8,0,0
8.185,8,8,0,0
8.19,8,8,0,0
8.195,8,8,0,0
8.2,8,8,0,0
8.205,8,8,0,0
8.21,8,8,0,0
8.215,8,8,0,0
8.22,8,8,0,0
8.225,8,8,0,0
8.23,8,8,0,0
8.235,8,8,0,0
8.24,8,8,0,0
8.245,8,8,0,0
8.25,8,8,0,0
8.255,8,8,0,0
8.26,8,8,0,0
8.265,8,8,0,0
8.27,8,8,0,0
8.275,8,8,0,0
8.28,8,8,0,0
8.285,8,8,0,0
8.29,8,8,0,0
8.295,8,8,0,0
8.3,8,8,0,0
8.305,8,8,0,0
8.31,8,8,0,0
8.315,8,8,0,0
8.32,8,8,0,0
8.325,8,8,0,0
8.33,8,8,0,0
8.335,8,8,0,0
8.34,8,8,0,0
8.345,8,8,0,0
8.35,8,8,0,0
8.355,8,8,0,0
8.36,8,8,0,0
8.365,8,8,0,0
8.37,8,8,0,0
8.375,8,8,0,0
8.38,8,8,0,0
8.385,8,8,0,0
8.39,8,8,0,0
8.395,8,8,0,0
8.4,8,8,0,0
8.405,8,8,0,0
8.41,8,8,0,0
8.415,8,8,0,0
8.42,8,8,0,0
8.425,8,8,0,0
8.43,8,8,0,0
8.435,8,8,0,0
8.44,8,8,0,0
8.445,8,8,0,0
8.45,8,8,0,0
8.455,8,8,0,0
8.46,8,8,0,0
8.465,8,8,0,0
8.47,8,8,0,0
8.475,8,8,0,0
8.48,8,8,0,0
8.485,8,8,0,0
8.49,8,8,0,0
8.495,8,8,0,0
8.5,8,8,0,0
